company_id,company_name,headquarters_country,headquarters_city,founded_year,employee_count,annual_revenue_usd,rpa_platform,cloud_support,ai_integration,process_mining_support,low_code_support,market_share_percent,customer_count,industry_focus,website,global_region
CMP00001,Optima Systems,Brazil,Sao Paulo,2008,114,76969718,WorkFusion,Yes,Yes,Yes,Yes,0.02,386,Professional Services & Consulting,https://www.optimasystems.com,South America
CMP00002,Ultra AutoPilot,Saudi Arabia,Dammam,2010,7,1000000,EdgeVerve AssistEdge,Partial,Yes,Yes,Yes,0.106,3,Construction & Engineering,https://www.ultraautopilot.com,Middle East
CMP00003,Solaris Digital,China,Suzhou,2015,251,133678110,AutomationEdge,Yes,Yes,Yes,Yes,0.003,613,Hospitality & Travel,https://www.solarisdigital.com,Asia-Pacific
CMP00004,RapidProcess,Germany,Dresden,2012,30,7033050,SAP iRPA,Yes,Yes,No,Yes,0.025,44,Media & Entertainment,https://www.rapidprocess.com,Europe
CMP00005,Catalyst RoboMind,Philippines,Manila,2011,25,6071707,MuleSoft RPA,Yes,Yes,No,Yes,0.004,48,Agriculture & Food Processing,https://www.catalystrobomind.com,Asia-Pacific
CMP00006,LinkForge,Sweden,Malmo,2013,68,3360782,Pega Platform,Yes,Yes,No,Yes,0.005,30,Chemical & Materials,https://www.linkforge.com,Europe
CMP00007,LogicPort,United Kingdom,London,2021,511,113783570,Rocketbot,Yes,Yes,No,No,0.003,931,Chemical & Materials,https://www.logicport.com,Europe
CMP00008,NetCraft,United States,Dallas,2006,58,16307602,TCS BaNCS RPA,Partial,Yes,Yes,Yes,0.031,143,Mining & Metals,https://www.netcraft.com,North America
CMP00009,NeuroPulse,United States,Chicago,2019,13,1583960,Jidoka RPA,Yes,Yes,No,No,0.092,46,Transportation & Logistics,https://www.neuropulse.com,North America
CMP00010,Vortex Cybernetic,Canada,Edmonton,2002,37,7838744,Datamatics Truzo,Yes,Yes,No,Yes,0.005,18,Technology & IT Services,https://www.vortexcybernetic.com,North America
CMP00011,Uplift Systems,Netherlands,Rotterdam,2019,126,17445111,OpenBots,Yes,Yes,No,Yes,0.034,51,Hospitality & Travel,https://www.upliftsystems.com,Europe
CMP00012,FlowQuantum,Kenya,Mombasa,2006,29,2710781,AntWorks,Yes,Partial,Yes,No,0.013,35,Banking & Financial Services,https://www.flowquantum.com,Africa
CMP00013,Velocity ProcessPro,United States,Denver,2007,62,8525379,AutoHotkey Enterprise,Yes,No,Yes,Yes,0.018,10,Energy & Utilities,https://www.velocityprocesspro.com,North America
CMP00014,AETech,Germany,Hamburg,1993,61,14494575,Power Automate,Partial,Yes,Yes,Yes,0.02,81,Mining & Metals,https://www.aetech.com,Europe
CMP00015,SyncDock,United Kingdom,London,2016,127,26035907,MuleSoft RPA,Yes,Yes,No,Yes,0.002,57,Banking & Financial Services,https://www.syncdock.com,Europe
CMP00016,Lumina BotForge,China,Shanghai,2010,166,36680772,Botpath,Yes,Partial,No,Yes,0.036,359,Manufacturing,https://www.luminabotforge.com,Asia-Pacific
CMP00017,Everest BotSphere,India,Delhi,2015,12,2064627,EdgeVerve AssistEdge,Yes,Partial,Yes,Yes,0.084,3,Banking & Financial Services,https://www.everestbotsphere.com,Asia-Pacific
